panoid,missing_angle,angles_present,n_missing,phase,dataset,pano_year,centroid_cell_id,centroid_lat,centroid_lon
0EkbutNOecCYa1awmwJpWg,300,"[0, 60, 120, 180, 240]",1,ph2,r2_muskan_0_10k,2015.0,98679.0,-6.1319737,106.92175
1cXLpFyjzaqY-JK8P1aJ-Q,180,"[0, 60, 120, 240, 300]",1,ph2,r2_muskan_10_20k,2015.0,51180.0,-6.1113677,106.70522
27sFmtMyKk8jE9lN4xQP_w,0,"[60, 120, 180, 240, 300]",1,ph3,ph3_j2,2018.0,146071.0,-6.1542768,106.81342
4CahKpmW2rMJOtNuIjUhaw,0,"[60, 120, 180, 240, 300]",1,ph1a,r1a-20-40k,2013.0,80306.0,-6.124507,106.75878
4q8W65QrMfRnvVRzjQenbg,0,"[60, 120, 180, 240, 300]",1,ph3,ph3_r1,2019.0,187512.0,-6.1740012,106.70948
7_vAOfYhhhylmBMReEVErw,120,"[0, 60, 180, 240, 300]",1,ph1a,20k-40k,2015.0,231593.0,-6.1930442,106.92265
8_HcQ1DjLjfglVpO3lzexQ,120,"[0, 60, 180, 240, 300]",1,ph1a,r1a-10-20k,2018.0,233774.0,-6.19486,106.79561
8u4-sKXPF7XAtA7A6Tgedw,0,"[60, 120, 180, 240, 300]",1,ph3,ph3_r1,2013.0,437534.0,-6.2882776,106.84065
9EoXjwqxlbEM6i-arg_ptQ,120,"[0, 60, 180, 240, 300]",1,ph3,ph3_r1,2013.0,241864.0,-6.1978798,106.93859
9ShHiPRe9ikHVaQIXhOgEA,240,"[0, 60, 120, 180, 300]",1,ph1a,r1a-20-40k,2019.0,116445.0,-6.1403465,106.8791
9X0iQno-jD5kxFRfUJi6bg,60,"[0, 120, 180, 240, 300]",1,ph3,ph3_r1,2018.0,148372.0,-6.1559334,106.72704
AyeX4mUEmvQcAfmrDK0fdQ,180,"[0, 60, 120, 240, 300]",1,ph3,ph3_r2,2013.0,312913.0,-6.2311864,106.76286
B8UZXqM3kKlqBlz4n5Nruw,240,"[0, 60, 120, 180, 300]",1,ph1a,20k-40k,2018.0,465643.0,-6.3010097,106.83833
BOAtuYDQkdkA0WaFjmHwDQ,60,"[0, 120, 180, 240, 300]",1,ph3,ph3_r1,2015.0,315798.0,-6.232172,106.87434
Bv8sJUjKftvIHIzsHTwdeA,180,"[0, 60, 120, 240, 300]",1,ph1b,r1b-muskan,2016.0,504042.0,-6.3187523,106.85838
C9r94djS-KL0ShlwjdZxXQ,120,"[0, 60, 180, 240, 300]",1,ph3,ph3_r1,2016.0,240675.0,-6.1976976,106.82442
CagYszoAtggGqYyluWVxgg,60,"[0, 120, 180, 240, 300]",1,ph3,ph3_r2,2016.0,173145.0,-6.1670203,106.7491
DhU8HZRJSw-UtI0155qrkw,300,"[0, 60, 120, 180, 240]",1,ph3,ph3_r1,2013.0,135369.0,-6.1487417,106.9401
E4_Gt6yjMxc7VCvViC0stQ,300,"[0, 60, 120, 180, 240]",1,ph3,ph3_r2,2016.0,326020.0,-6.2368727,106.87368
ErXq03448_CyK0Pkz2jQtA,120,"[0, 60, 180, 240, 300]",1,ph3,ph3_r1,2015.0,96049.0,-6.1308885,106.89668
F4NK3gDqUtI4CmyxY5wahQ,0,"[60, 120, 180, 240, 300]",1,ph3,ph3_r1,2019.0,475926.0,-6.3058329,106.85834
FLZJ06ArGD_zdRxoUN8Tvw,300,"[0, 60, 120, 180, 240]",1,ph3,ph3_r1,2013.0,324903.0,-6.2365971,106.78389
FiJ1aX9FD0IPuRN3fDnjTQ,300,"[0, 60, 120, 180, 240]",1,ph1a,20k-40k,2018.0,382866.0,-6.2633853,106.79313
FrHa0czaH1CmBKoCgwOQRQ,180,"[0, 60, 120, 240, 300]",1,ph2,r2_muskan_10_20k,2018.0,132932.0,-6.1489987,106.69178
GI6wsDAQhECgHEz5T62qJg,180,"[0, 60, 120, 240, 300]",1,ph3,ph3_r1,2018.0,42914.0,-6.1071725,106.79124
GbKP7gSAGC2_WBhJ7_QDrw,180,"[0, 60, 120, 240, 300]",1,ph1b,r1b-muskan,2019.0,504042.0,-6.3187523,106.85838
HLnsOC5ZZtqvZyJt9s4J0g,60,"[0, 120, 180, 240, 300]",1,ph1b,r1b-muskan,2019.0,321687.0,-6.2348065,106.84894
HoS3QCy8OU4w-A7aTPbbfw,240,"[0, 60, 120, 180, 300]",1,ph2,r2_muskan_10_20k,2015.0,287415.0,-6.2193699,106.78383
IkgxUicl3ff9Elpz-Hggng,120,"[0, 60, 180, 240, 300]",1,ph3,ph3_r2,2017.0,126809.0,-6.144876,106.92654
J4upZPpRgCciscEM7NJfRw,120,"[0, 60, 180, 240, 300]",1,ph3,ph3_r1,2013.0,278143.0,-6.2149477,106.8177
JwH-I764eTRSNYm70PZiIA,300,"[0, 60, 120, 180, 240]",1,ph2,r2_muskan_10_20k,2015.0,219803.0,-6.1873918,106.96938
KlXtIN7Wtba5QYh6vw6lyg,180,"[0, 60, 120, 240, 300]",1,ph2,r2_muskan_10_20k,2013.0,299360.0,-6.2250276,106.78961
LC-GVB9kw8kxEkkOyv5cRw,0,"[60, 120, 180, 240, 300]",1,ph1a,20k-40k,2015.0,465643.0,-6.3010097,106.83833
LS0E_Kr6qz8GGMuDXKRjWg,300,"[0, 60, 120, 180, 240]",1,ph1b,r1b-muskan,2019.0,148238.0,-6.1546993,106.97028
LoGKmw3HLF1BgLfFERNxOw,60,"[0, 120, 180, 240, 300]",1,ph3,ph3_r2,2017.0,480144.0,-6.3078408,106.84411
N1_-WRtzROMZ40SMtrm_6A,120,"[0, 60, 180, 240, 300]",1,ph1b,r1b-muskan,2013.0,334531.0,-6.2406025,106.87064
NXlBTbzaF2hrt6XFBVcvYw,60,"[0, 120, 180, 240, 300]",1,ph3,ph3_r2,2013.0,461204.0,-6.299458,106.77766
Nx5crr4zefrZQ3zVqBe5UQ,300,"[0, 60, 120, 180, 240]",1,ph1a,20k-40k,2013.0,479390.0,-6.3073306,106.87732
NxXwQuiKZg2Lh_53z-sUsA,60,"[0, 120, 180, 240, 300]",1,ph3,ph3_r1,2013.0,316749.0,-6.2322474,106.90788
OZT058N1GE3g1vTfomYbGA,300,"[0, 60, 120, 180, 240]",1,ph1b,r1b-30-40k,2019.0,256703.0,-6.2053208,106.77023
OuPYQirjm_6RoLUhXVazlQ,60,"[0, 120, 180, 240, 300]",1,ph3,ph3_r1,2013.0,232747.0,-6.1944699,106.73631
PFgB3EuJjwpzVZ8QL6Tvhw,240,"[0, 60, 120, 180, 300]",1,ph1b,r1b-muskan,2018.0,59361.0,-6.1141162,106.87901
R8FUJSSoLw1NyMvlyXGXxQ,0,"[60, 120, 180, 240, 300]",1,ph1a,r1a-10-20k,2019.0,556875.0,-6.3428192,106.86152
RBOnjv9Xb6nNG4k_Ckr7eA,60,"[0, 120, 180, 240, 300]",1,ph1a,r1a-20-40k,2013.0,112798.0,-6.1392546,106.79813
RxcEV5KP4mvMz5DjMMO33Q,120,"[0, 60, 180, 240, 300]",1,ph1b,r1b-muskan,2015.0,181087.0,-6.1702313,106.84193
SzoS63kbhUrdqcCJnpGlkg,0,"[60, 120, 180, 240, 300]",1,ph1a,20k-40k,2018.0,334489.0,-6.240653,106.85641
TK0IFvqbD0bwGwhjslGJgw,180,"[0, 60, 120, 240, 300]",1,ph2,r2_muskan_0_10k,2013.0,245760.0,-6.200274,106.81528
W0n1CsnFHWYnej_UgdVQCg,180,"[0, 60, 120, 240, 300]",1,ph3,ph3_r1,2015.0,329067.0,-6.2386637,106.75137
WFCFL91lJC-0RGsrkBPBqA,300,"[0, 60, 120, 180, 240]",1,ph2,r2_muskan_10_20k,2017.0,59779.0,-6.1150017,106.73199
Wt6jzK2_LBxoxQLyzL-VNQ,300,"[0, 60, 120, 180, 240]",1,ph1a,r1a-10-20k,2013.0,278250.0,-6.2150178,106.85395
WuQfrdMxVRo5foZOz5jbKA,60,"[0, 120, 180, 240, 300]",1,ph3,ph3_r1,2018.0,316749.0,-6.2322474,106.90788
XGKp3XJ6qVuCpn8n-y0M4Q,180,"[0, 60, 120, 240, 300]",1,ph1a,r1a-10-20k,2019.0,199002.0,-6.1786218,106.84976
XLDugqEhO1whexDYsCjRmA,120,"[0, 60, 180, 240, 300]",1,ph3,ph3_r1,2015.0,437534.0,-6.2882776,106.84065
XhZaPl3WWZgoKwRppzteMw,0,"[60, 120, 180, 240, 300]",1,ph3,ph3_r1,2015.0,195686.0,-6.1769462,106.88092
Y-RF2cA86z7lO1DAAqj19Q,300,"[0, 60, 120, 180, 240]",1,ph2,r2_muskan_10_20k,2015.0,613202.0,-6.3687367,106.89381
ZDbh7-gVJ3ZvCDIbNArMYA,0,"[60, 120, 180, 240, 300]",1,ph2,r2_muskan_10_20k,2013.0,42468.0,-6.1063056,106.92877
ZucC0oV54Y83Mkv4dy79tQ,180,"[0, 60, 120]",3,ph1a,r1a-20-40k,2019.0,153645.0,-6.1579075,106.78159
ZucC0oV54Y83Mkv4dy79tQ,240,"[0, 60, 120]",3,ph1a,r1a-20-40k,2019.0,153645.0,-6.1579075,106.78159
ZucC0oV54Y83Mkv4dy79tQ,300,"[0, 60, 120]",3,ph1a,r1a-20-40k,2019.0,153645.0,-6.1579075,106.78159
aScZSO0OcRcsRE1SJRqu0A,0,"[60, 120, 180, 240, 300]",1,ph1b,r1b-10-20k,2013.0,344751.0,-6.2453055,106.8693
bWS5O4mcHWEJLKzN_JF8Zg,300,"[0, 60, 120, 180, 240]",1,ph1a,r1a-20-40k,2013.0,131534.0,-6.1478772,106.79545
cNH9n6FWMsMYnfsOxUk8mw,0,"[60, 120, 180, 240, 300]",1,ph1a,20k-40k,2018.0,591026.0,-6.3585877,106.88564
elpEmysAujFnnibxxo16qA,0,"[60, 120, 180, 240, 300]",1,ph1a,muskan-0-10k,2019.0,292096.0,-6.2210221,106.92648
erzuoeVN4rvA7u8T-tja_w,0,"[60, 120, 180, 240, 300]",1,ph1b,r1b-10-20k,2018.0,344455.0,-6.2456522,106.76901
g9lgzSJO5BQLB9z4LSjvyg,300,"[0, 60, 120, 180, 240]",1,ph3,ph3_r2,2019.0,422274.0,-6.2811389,106.86638
h8MBgvdb5Iqb6Ze8U_YUVg,240,"[0, 60, 120, 180, 300]",1,ph2,r2_muskan_10_20k,2018.0,103996.0,-6.1356516,106.70258
hAtbMsvo3MtfLfjDkSKtXg,240,"[0, 60, 120, 180, 300]",1,ph2,r2_muskan_10_20k,2013.0,322614.0,-6.2353044,106.87435
hKdDRlY4koq2z9DBtPodXg,240,"[0, 60, 120, 180, 300]",1,ph3,ph3_r2,2018.0,357399.0,-6.2513351,106.8246
iB_51IitM5uLEvzEmMAgWA,300,"[0, 60, 120, 180, 240]",1,ph1b,r1b-muskan,2013.0,129549.0,-6.1472096,106.70025
iFKbc2UNffy8W67Ku4MLgg,60,"[0, 120, 180, 240, 300]",1,ph3,ph3_r1,2018.0,203808.0,-6.1813211,106.74609
iGJpOfMBjZ2rtgmuSu_qQQ,240,"[0, 60, 120, 180, 300]",1,ph1a,r1a-10-20k,2019.0,178807.0,-6.168725,106.93543
ismFC1Mk3_OfjoG5kkKqDA,0,"[240, 300]",4,ph1a,r1a-20-40k,2018.0,69569.0,-6.1188331,106.8736
ismFC1Mk3_OfjoG5kkKqDA,60,"[240, 300]",4,ph1a,r1a-20-40k,2018.0,69569.0,-6.1188331,106.8736
ismFC1Mk3_OfjoG5kkKqDA,120,"[240, 300]",4,ph1a,r1a-20-40k,2018.0,69569.0,-6.1188331,106.8736
ismFC1Mk3_OfjoG5kkKqDA,180,"[240, 300]",4,ph1a,r1a-20-40k,2018.0,69569.0,-6.1188331,106.8736
jSWlepieHfRMTg3dkC2HqA,180,"[0, 60, 120, 240, 300]",1,ph1b,r1b-10-20k,2016.0,230524.0,-6.19311,106.84913
jUwNY1voN4UMKRqOe6KfoQ,300,"[0, 60, 120, 180, 240]",1,ph1a,muskan-0-10k,2019.0,237396.0,-6.1961756,106.86811
kOH7yPUve3Al2JWsnSnnoQ,120,"[0, 60, 180, 240, 300]",1,ph1b,r1b-muskan,2013.0,189681.0,-6.1740589,106.86702
ldFSK30AljM7TGLqzE-oBQ,0,"[60, 120, 180, 240, 300]",1,ph2,r2_muskan_10_20k,2013.0,472480.0,-6.3043127,106.84545
mc_TOtaeXU8K42prtoafKg,300,"[0, 60, 120, 180, 240]",1,ph1b,r1b-muskan,2017.0,579948.0,-6.3535008,106.88494
nCyGSz-cS1WhV0Vr0lkh4g,300,"[0, 60, 120, 180, 240]",1,ph1b,r1b-10-20k,2019.0,415468.0,-6.2779951,106.86976
nRrx6db3s5VTrVVB62Du7g,0,"[60, 120, 180, 240, 300]",1,ph1a,20k-40k,2013.0,306899.0,-6.2285018,106.74591
nn0bDCgPt8K0G5-z6KGNTw,180,"[0, 60, 120, 240, 300]",1,ph3,ph3_r2,2018.0,451286.0,-6.2943964,106.88134
nyc7Jp6ClSsGecxRx8pkhQ,180,"[0, 60, 120, 240, 300]",1,ph2,r2_muskan_10_20k,2019.0,165946.0,-6.1631474,106.90797
o_xxeY40-cGnqqHBxPM72w,300,"[0, 60, 120, 180, 240]",1,ph1b,r1b-10-20k,2013.0,222039.0,-6.1889577,106.86098
ogaMBjlSimUG4-madFpGCg,180,"[0, 60, 120, 240, 300]",1,ph1a,r1a-10-20k,2018.0,67996.0,-6.1180892,106.91798
ok9t9InSEazeGlgitaVN6Q,300,"[0, 60, 120, 180, 240]",1,ph1b,r1b-0-10k,2018.0,88229.0,-6.1275449,106.84518
pjwEOdyzexxD0LyI6NVhaw,120,"[0, 60, 180, 240, 300]",1,ph3,ph3_r1,2018.0,440075.0,-6.2892742,106.83558
qzedpRKrtjroikwV_UHMzA,0,"[60, 120, 180, 240, 300]",1,ph2,r2_muskan_0_10k,2015.0,504181.0,-6.3183861,106.90549
