,mean_pct
vegetation_ratio,21.3357
road_ratio,19.3456
building_ratio,18.73
fence_ratio,6.4997
wall_ratio,3.7113
sidewalk_ratio,2.816
other_nature_ratio,1.7913
platform_ratio,1.4799
terrain_ratio,1.3988
curb_ratio,0.6243
utility_pole_ratio,0.5148
man_ratio,0.3146
lane_marking_ratio,0.2358
trash_can_ratio,0.1369
motorcyclist_ratio,0.1286
road_barrier_ratio,0.1075
crosswalk_ratio,0.0463
bicyclist_ratio,0.0289
street_light_ratio,0.0173
bench_ratio,0.012
bus_stop_ratio,0.0109
wheelchair_ramp_ratio,0.0102
person_ratio,0.0012
bike_rack_ratio,0.0005
other_debris_ratio,0.0002
other_rider_ratio,0.0
child_ratio,0.0
woman_ratio,0.0
